id,region,subregion,country,location,lat,lon,year,depth,severity_code,bleaching_severity,coral_family,coral_species,percentage_affected,mortality_code,mortality,water_temperature,source,country_code
68,Asia,North and East Asia,Japan,"Ishigaki Island, Japan",24.4741,124.1373,1998,,3,High,,,,High,62,,"Wilkinson, Clive",JPN
69,Asia,North and East Asia,Japan,"Amakusa, Kyushu, Japan",32.4181,129.994,1998,,3,High,,,,Unknown,,,"Wilkinson, Clive",JPN
70,Asia,South Asia,Maldives,South  Male Atoll,3.9834,73.4262,1998,30m,3,High,Mixed,"sinularia, acropora, fungi, platygyra sp. Porites.",,High,82,30,NOAA database,MDV
71,Americas,Northern Caribbean,Bahamas,Bahamas,24.3301,-74.4642,1998,,2,Medium,,,,Unknown,,,NOAA database,BHS
72,Americas,U.S. Caribbean,Florida (USA),Coffins Patch Light,24.6831,-80.9911,1998,6-7m,1,Low,Milleporidae,millepora sp. ,,Unknown,,32.22,NOAA database,USA_FLO
73,Asia,Southeast Asia,Philippines,"El Nido, North Palawan",11.1847,119.3872,1998,,3,High,Mixed,"acropora, porites",,Unknown,,32,NOAA database,PHL
74,Americas,Northern Caribbean,Bahamas,Lee Stocking Island,24.4994,-76.7142,1998,,2,Medium,,,,Unknown,,,NOAA database,BHS
75,Americas,U.S. Caribbean,Florida (USA),Florida Keys (inshore),23.1311,-81.3956,1998,,2,Medium,,,,Unknown,,,NOAA database,USA_FLO
76,Americas,U.S. Caribbean,Florida (USA),Florida Keys (offshore),23.1311,-81.3956,1998,,1,Low,,,,Unknown,,,NOAA database,USA_FLO
77,Americas,U.S. Caribbean,Florida (USA),Looe Key,24.55,-81.41,1998,,1,Low,,,,Unknown,,,NOAA database,USA_FLO
78,Americas,U.S. Caribbean,Florida (USA),E. Sambo Key,24.4913,-81.6634,1998,,2,Medium,,,,Unknown,,,NOAA database,USA_FLO
79,Middle East,Red Sea - Gulf of Aden,Yemen (Gulf of Aden),Gulf of Aden,12.0159,46.9841,1998,,0,No Bleaching,,,,Unknown,,,NOAA database,YEM_ADE
80,Asia,Southeast Asia,Philippines,Philippines,10.8807,120.8045,1998,,2,Medium,,,,Unknown,,,NOAA database,PHL
81,Middle East,Persian Gulf,Oman,Southern Oman,20.2646,58.4244,1998,,2,Medium,,,,Unknown,,,NOAA database,OMN
82,Middle East,Red Sea - Gulf of Aden,Saudi Arabia,Southern Red Sea,14.409,42.9687,1998,,2,Medium,,,,Unknown,,,NOAA database,SAU
83,Asia,Southeast Asia,Philippines,Bolinao (northwest),16.31,119.77,1998,15,3,High,Acroporidae,"plating, branching and foliose forms. Mainly acropora, not porites",,Low,,32.22,Coral Listserver,PHL
84,Asia,Southeast Asia,Philippines,Puerto Galera (central Ph,13.54,120.76,1998,15,3,High,Acroporidae,"plating, branching and foliose forms. Mainly acropora, not porites",,Low,,32.22,Coral Listserver,PHL
85,Asia,Southeast Asia,Philippines,Palawan area,9.0889,118.2272,1998,15,3,High,Acroporidae,"plating, branching and foliose forms. Mainly acropora, not porites",,Low,,32.22,Coral Listserver,PHL
86,Middle East,Red Sea - Gulf of Aden,Saudi Arabia,Arabian Gulf - Four nearshore patch reefs,27.3107,49.5072,1998,,3,High,Mixed,"Acropora, porites, platygyra",,High,95,32.22,Coral Listserver,SAU
87,Asia,Southeast Asia,Malaysia,"Turtle Islands, Sabah",4.9736,118.3911,1998,,1,Low,,,,Unknown,,,"Wilkinson, Clive",MYS
88,Asia,Southeast Asia,Malaysia,"Semporna, Sabah",4.4939,118.6133,1998,,1,Low,,,,Unknown,,,"Wilkinson, Clive",MYS
89,Asia,Southeast Asia,Philippines,"Negros Island, Philipines",9.3272,122.747,1998,,3,High,,,,Unknown,,,"Wilkinson, Clive",PHL
90,Middle East,Red Sea - Gulf of Aden,Saudi Arabia,Arabian Gulf - One offshore patch reef,27.5,49.7,1998,,1,Low,Mixed,"acropora, pocillopora, porites, platygyra",,Unknown,,32.22,Coral Listserver,SAU
91,Asia,Southeast Asia,Philippines,Silliman Marine Lab,9.2,123.34,1998,,2,Medium,Poritidae,Massive porites,,Unknown,,,Coral Listserver,PHL
92,Americas,U.S. Caribbean,Florida (USA),"Sombrero Key, Florida",24.6324,-81.1111,1998,,3,High,Mixed,"Acropora, millepora sp., erythropodium sp., palythoa caribaeorum, siderastrea siderea, diploria strigosa, colpophyllia natans",,Unknown,,,Coral Listserver,USA_FLO
93,Americas,U.S. Caribbean,Florida (USA),"Western Sambo Ecological Reserve, Florida Key (reef crest)",24.4929,-81.7118,1998,,3,High,Mixed,"Millepora, A. palmata",,Unknown,,,NOAA database,USA_FLO
94,Americas,U.S. Caribbean,Florida (USA),"Western Sambo Ecological Reserve, Florida Keys (back reef)",24.4934,-81.7084,1998,,3,High,Acroporidae,A. palmata,,Unknown,,,NOAA database,USA_FLO
95,Americas,U.S. Caribbean,Florida (USA),"Western Sambo Ecological Reserve, Florida Keys(offshore)",24.4927,-81.7166,1998,,2,Medium,Mixed,"M. annularis, Colpophyllia.natans, Siderastrea siderea",,Unknown,,,NOAA database,USA_FLO
96,Americas,U.S. Caribbean,Florida (USA),Mid Channel Patch Reef in Hawks Channel,24.808,-80.823,1998,,2,Medium,Faviidae,"M. cavernosa, M. annularis",,Unknown,,,NOAA database,USA_FLO
97,Americas,Northern Caribbean,Cayman Islands,Little Cayman,19.7231,-80.0463,1998,,2,Medium,,,,Unknown,,,NOAA database,CYM
98,Australia,Australia and Papua New Guinea,Papua New Guinea,NE of Kimbe Bay. Island of New Britain (PNG),-4.9025,151.062,1998,165 ft,2,Medium,Mixed,"Acropora, porites, platygyra, montipora, gonopora, sinularia, montastrea, alveopora, fungia",,Unknown,,31,Coral Listserver,PNG
99,Americas,U.S. Caribbean,Puerto Rico,SW Puerto Rico,17.9878,-67.3075,1998,,0,No Bleaching,,,,Unknown,,,NOAA database,PRI
100,Americas,Northern Caribbean,Bahamas,Bahamas,25.1879,-77.0225,1998,,2,Medium,,,,Unknown,,,NOAA database,BHS
101,Americas,Mesoamerica,Belize,Belize,17.0022,-88.0101,1998,,2,Medium,,,,Unknown,,,NOAA database,BLZ
102,Americas,Northern Caribbean,Bermuda,Bermuda,32.4254,-64.8485,1998,,0,No Bleaching,,,,No Mortality,,,NOAA database,BMU
103,Americas,Northern Caribbean,Jamaica,"Jamaica, Discovery Bay",18.4794,-77.3287,1998,,1,Low,,,,Unknown,,,NOAA database,JAM
104,Asia,North and East Asia,Japan,Okinawa,26.4648,127.9899,1998,,3,High,,,,Unknown,,30,NOAA database,JPN
